city,street,number,lon,lat
??? ?????,???? ????????? 1,03-7797577,34.8600193,32.0205064
??? ?????,?????? 8,04-646-0705,34.91794008,32.50435742
????,???? ??????,08-9428989,34.9596765,29.5495247
?????,???? ????????? 4,08-9775157,34.6365283,31.7911936
??????,????? ?????? 65,08-6869144,34.570097,31.680045
??? ????,????? 3,08-9555764,34.8261351,31.9362388
??? ???,????? 1,08-6445959,34.7994617,31.2341222
???? ?????,???? ????'?,09-9661614,34.8680834,32.3615628
?? ??,?? ?????? 85,03-9441070,34.7389925,32.018181
???? ?????,????? 1,03-7775169,34.8556056,32.084025
???????,?????? 54,03-9441580,34.8096975,32.078906
???????,??? ????? 53,03-5090394,34.803277,32.066902
????,???? ???? 12,08-6565999,34.7835822,31.80029
?? ????,??????? 56,08-6913335,34.704494,31.7952815
??? ?????,??? ?????? 24,09-9775251,34.8940276,32.1600277
??????,?????? 2- ????? ????,09-9601630,34.7968935,32.1636494
??????,????? ????? 37,09-9799320,34.8048763,32.1789864
??????,?? ?????? 22,09-7921477,34.8420226,32.1630141
????,??? ????,04-8692622,34.9340366,32.4285114
????,???? ???? ???? 4,04-8801493,34.91021,32.437704
?????,???? ?????? 13,03-7792477,34.7783752,32.0087448
????,?????? 3,077-7060373,34.9999173,32.8181047
????,??? 4,04-8164606,35.0395,32.471
???? ?????,??? ????? 1,04-612-6444,34.9729581,32.7596281
????,?????? 16,08-6846192,34.735896,31.866917
??????,????? ???? ???? 9,04-6298822,35.0940528,32.6460421
???,???? ???? 9,03-6036275,34.7569213,32.0529073
???,"????Ê??????Ê??????Ê101, ??? ???",03-6241041,34.7506434,32.0542555
???????,???? ????? ?????,02-5644496,35.2252087,31.7773657
???????,??????? 8,02-9665661,35.1867225,31.7749335
???????,?????? 25,02-6449253,35.161224,31.764778
???????,?????? 72,02-5444077,35.21137479,31.78468998
??????,???? ???? 2,052-7247441,35.3208182,32.9271943
??? ???,????ÊG,09-8912336,34.9284373,32.1720743
???????,??? ?????? 24 Ð ????? ????,08-6578945,34.9982069,31.907639
???????,????? ???????,052-8264820,35.0076632,31.8996612
???? ??????,???? 31,02-5455570,35.3113066,31.7824447
???? ????,????? ?? ?????? 2,08-9120806,34.8027322,30.6125647
?? ?????,????? 12,08-9955289,34.7982235,31.9269473
??????,???? ?????? 13,08-6733343,34.5952321,31.4184847
????,??? ???? ????,04-6704343,35.30125526,32.69674366
?????,????? 1,04-6835333,35.0910873,33.0067673
?????,????? ???? ????? 3,09-8802035,34.8616661,32.2908142
?????,???? ????,09-9777555,34.86202,32.2812249
?????,???? ????? 1,03-7787088,34.877472,32.0446395
???? ??????,????? ????,03-9447269,34.8044874,32.1463675
?????,????? ???? ???? 20,04-7749599,35.2998605,32.6146772
???? ???,???? 1,04-8233660,34.9743126,32.4727894
??? ?????,???? 30,NA,34.8587367,32.0873026
????? ??????,??? ??? 192,04-8885555,35.0903414,32.8420813
????? ??,??? ????? 20,08-658-9026,34.7772321,31.6057407
????? ??????,????? ??????? 1,04-641-2662,35.0652399,32.8352351
???? ????,???????? 3,03-7786447,34.8579994,32.0561635
??? ????,???? ???? 10,03-9024405,34.9418992,32.0985708
??? ????,????? 1,04-6190555,35.5503387,32.970075
????,??? ???? 4,08-9711909,34.8891982,31.9298811
??? ??,????? ??????? 3,03-5367330,34.81934893,32.07502139
?????,???? ????? 273,09-7882233,34.8450306,32.191239
?????,"????? 71, ?????",09-9591000,34.8806584,32.1789452
????? ?????,?????? 14,03-5080550,34.7325432,31.9988297
????? ?????,????? 26,03-7745102,34.7741726,31.9895843
????? ?????,????? 1,03-6099949,34.8170841,31.9671292
??????,???? ???? 10,08-9447717,34.7894096,31.8946742
??????,???? ????? 3,08-6875060,34.8045454,31.9119146
????,??? ?????? 30,03-559-7967,34.94685,31.9990278
?????,????? ?????,09-9697969,34.8283333,32.2208333
?? ????,????? ????? 22,03-6327766,34.7762768,32.0627021
?? ????,?? ????? 110,03-9743322,34.7717,32.0831387
?? ????,???? ???? 19,03-6885836,34.7877215,32.0999275
?? ????,?'???????? 110,03-6968581,34.7866453,32.0871902
??-????,"??? ?? ????, ??? ???? 12",03-6576408,34.774015,32.098719
??-????,"????? ???????, ????? 14",03-6323441,34.789613,32.081173
??-????,???? ?????? 18,03-6766648,34.837301,32.109592
??-????,??????? 45,03-6826069,34.772199,32.059845
?? ????,????? ??????? 5,03-6992770,34.79277609,32.12071803
?? ????,???? ???? 144,03-5297797,34.79484,32.079904
?? ????,??????? 6,03-6599989,34.76794846,32.07774344
?? ????,??? ????? ?? ?????,03-5050126,34.84180726,32.04599191
?? ????,????? ???????,03-6960405,34.7922028,32.0740769
?? ????,??? ??????-?????? 163,03-5780170,34.768954,32.08482663
?? ????,??? ???? 2,03-5614016,34.799156,32.047187
??-????,??????? 22,03-6704303,34.77143597,32.06291195
?? ????,"?????? 9, ???? ???",03-5105545,34.7642438,32.0607159
?? ????,???????? 245,03-5164014,34.7761066,32.0921838
?? ????,????? 22,03-5377887,34.7674684,32.0688802
?? ????,??????? 107,03-6350409,34.7736884,32.0800888
